seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
F6_S22_contig_12978	11930	No terminal repeats	NA	15	11	0.9991	0.0009	4	24.6685	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_11475	5912	No terminal repeats	NA	8	11	0.9991	0.0009	6	12.9783	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_9363	20154	No terminal repeats	NA	18	11	0.9991	0.0009	5	27.0495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_2319	7039	No terminal repeats	NA	8	11	0.9991	0.0009	2	10.7485	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_11139	18843	No terminal repeats	NA	20	11	0.9991	0.0009	11	30.5283	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_6194	3848	No terminal repeats	NA	5	11	0.9991	0.0009	0	7.7270	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_10599	11657	No terminal repeats	NA	16	11	0.9991	0.0009	4	22.1977	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_5153	7138	No terminal repeats	NA	13	11	0.9991	0.0009	2	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_1286	12145	No terminal repeats	NA	18	11	0.9991	0.0009	7	27.9301	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_8822	14324	No terminal repeats	NA	13	11	0.9991	0.0009	1	21.2230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_544	5116	No terminal repeats	NA	8	11	0.9991	0.0009	2	13.0055	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_8017	12793	No terminal repeats	NA	15	11	0.9991	0.0009	9	22.3104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F6_S22_contig_2719	59719	No terminal repeats	NA	42	11	0.9991	0.0009	5	60.4083	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
F6_S22_contig_1175	6528	No terminal repeats	NA	7	11	0.9991	0.0009	1	8.4636	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
F6_S22_contig_11236	12019	No terminal repeats	NA	13	11	0.9991	0.0009	9	18.9286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
