seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
M1_S25_contig_28172	7905	No terminal repeats	NA	12	11	0.9992	0.0008	5	17.5157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_14461	6348	No terminal repeats	NA	9	11	0.9992	0.0008	8	13.7751	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_12310	7673	No terminal repeats	NA	8	11	0.9992	0.0008	5	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_11926	7441	No terminal repeats	NA	10	11	0.9992	0.0008	6	15.7641	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_34160	7632	No terminal repeats	NA	6	11	0.9992	0.0008	2	10.0156	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_2939	7658	No terminal repeats	NA	4	11	0.9992	0.0008	1	6.4874	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_26556	18065	No terminal repeats	NA	24	11	0.9992	0.0008	8	34.7330	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_12007	5912	No terminal repeats	NA	8	11	0.9992	0.0008	3	13.3425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_38809	4474	No terminal repeats	NA	5	11	0.9992	0.0008	1	8.5804	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_14320	4004	No terminal repeats	NA	6	11	0.9992	0.0008	4	10.0381	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_13460	6118	No terminal repeats	NA	8	11	0.9992	0.0008	1	11.8308	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_1555	16809	No terminal repeats	NA	23	11	0.9992	0.0008	10	34.7133	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M1_S25_contig_36710	5839	No terminal repeats	NA	4	11	0.9992	0.0008	2	6.6800	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
