ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
M2_S26_contig_31_1	86	1686	tail length tape measure protein	tail	1686	48	0.624	7.367e-06	NC_024384_p40	1686	45.629646	4.518928323218678e-12	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_2	213	706	hypothetical protein	unknown function	706	123	0.39	1.177e-32	p156642 VI_00973	706	136.568863	1.747277016116493e-39	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_3	129	4450	hypothetical protein	unknown function	4450	43	0.247	1.954e-06	KU057941_p14	4450	53.883804	3.7698583017928154e-14	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_4	166	820	major tail protein	tail	820	61	0.289	3.016e-12	p146027 VI_05804	820	66.008362	5.976345203265986e-18	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_5	144	3266	tail completion	connector	3266	138	0.512	1.055e-38	p177846 VI_05919	3266	138.032166	3.688233959768453e-40	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_6	137	556	minor head protein	head and packaging	556	63	0.447	2.328e-13	p315507 VI_04386	556	108.900078	7.558714058585626e-31	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_7	119	3366	hypothetical protein	unknown function	3366	65	0.31	7.606e-14	p58442 VI_01170	3366	64.435585	2.488929677338695e-17	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_8	129	541	head-tail adaptor	connector	541	64	0.352	1.052e-13	p315505 VI_04386	541	73.977646	2.0987699266700264e-20	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_9	57	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
M2_S26_contig_31_10	344	422	major head protein	head and packaging	422	192	0.345	9.277e-55	p170830 VI_05974	422	206.771164	9.839600889406593e-61	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
