ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
GP5_S30_contig_151_1	114	3266	tail completion	connector	3266	48	0.296	8.111e-08	p177846 VI_05919	3266	52.534756	8.759750175933878e-14	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_2	177	3099	hypothetical protein	unknown function	3099	70	0.281	2.117e-14	p177845 VI_05919	3099	98.60807	7.856593640862559e-28	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_3	144	11299	hypothetical protein	unknown function	11299	60	0.283	4.915e-12	p421597 VI_01217	11299	85.101074	1.0294720399508341e-23	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_4	191	706	hypothetical protein	unknown function	706	106	0.347	5.252e-27	p156642 VI_00973	706	120.036942	2.023709630165451e-34	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_5	242	17658	hypothetical protein	unknown function	17658	44	0.326	2.354e-06	p142228 VI_01183	17658	62.118305	1.2410927496526908e-16	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_6	895	23464	hypothetical protein	unknown function	23464	72	0.586	6.847e-14	p374888 VI_01126	1535	130.385651	1.4392373521260485e-37	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_7	133	1194	hypothetical protein	unknown function	1194	46	0.261	2.073e-07	MG757153_p32	1194	70.476601	2.376607363804404e-19	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_8	487	13879	hypothetical protein	unknown function	13879	331	0.414	1.736e-99	p308556 VI_00914	13879	410.319946	1.9955054444222634e-122	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_9	408	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_10	148	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_11	372	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
GP5_S30_contig_151_12	92	22773	hypothetical protein	unknown function	22773	48	0.339	2.261e-08	p222011 VI_01195	22773	39.657551	9.63266778264249e-10	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
