UHGV-1522352	UHGV-1522352,UHGV-1435640,UHGV-1380186,UHGV-1887556,UHGV-0199231,UHGV-2187500,UHGV-1411180,UHGV-1385784,UHGV-1497117,UHGV-1458559,UHGV-1411914,UHGV-1449073,GP3_S28_contig_869,GP5_S30_contig_201,M2_S26_contig_11928,M3_S27_contig_34590,GP4_S29_contig_1099,F3_S19_contig_10182,F4_S20_contig_10333,F5_S21_contig_6155,F6_S22_contig_6914,F7_S23_contig_5976,F8_S24_contig_1005,M1_S25_contig_3842
UHGV-1430889	UHGV-1430889,UHGV-1404779,UHGV-1411801,UHGV-2037337,UHGV-2150250,UHGV-2044920,UHGV-1518189,UHGV-1470789,UHGV-1945158,UHGV-2121557,UHGV-1940842,GP4_S29_contig_477,F3_S19_contig_13144,F4_S20_contig_1939,F5_S21_contig_11266,F6_S22_contig_10153,F7_S23_contig_2497,F8_S24_contig_8690,M1_S25_contig_30657,M3_S27_contig_18455,GP5_S30_contig_4602,GP3_S28_contig_1434,M2_S26_contig_26005
UHGV-0166619	UHGV-0166619,UHGV-1528969,UHGV-1369227,UHGV-2098733,UHGV-1442733,UHGV-2128077,UHGV-1468953,UHGV-2152801,UHGV-2202859,M2_S26_contig_7833,F5_S21_contig_8919|provirus_7803_28561,F4_S20_contig_144|provirus_2_20757,M3_S27_contig_2562|provirus_7803_28198,F3_S19_contig_480|provirus_1_20348,F6_S22_contig_2538|provirus_1_20222,F8_S24_contig_452,M1_S25_contig_17989,F7_S23_contig_481,GP5_S30_contig_1654,GP3_S28_contig_2018,GP4_S29_contig_934
UHGV-1450603	UHGV-1450603,UHGV-1947028,UHGV-2141613,UHGV-0183698,M1_S25_contig_33292|provirus_25729_62019,F3_S19_contig_1255,F4_S20_contig_5165,F5_S21_contig_5824,F6_S22_contig_2085,F7_S23_contig_2709,F8_S24_contig_1191,M3_S27_contig_5893|provirus_13495_43517,M2_S26_contig_31257,GP5_S30_contig_1967,GP3_S28_contig_1991,GP4_S29_contig_904,GP3_S28_contig_1295,GP4_S29_contig_4440,GP5_S30_contig_2727
F4_S20_contig_13777	F4_S20_contig_13777,F5_S21_contig_14742,F3_S19_contig_3920,F6_S22_contig_11358,F8_S24_contig_14777,GP3_S28_contig_5294,GP5_S30_contig_5207,GP4_S29_contig_2809,F7_S23_contig_369,UHGV-0340057,M2_S26_contig_8244,M3_S27_contig_25209,M1_S25_contig_3145,M2_S26_contig_6371|provirus_22542_35299,M3_S27_contig_10403|provirus_3_12760,M1_S25_contig_8052|provirus_20984_33651,M1_S25_contig_14430
F7_S23_contig_15766	F7_S23_contig_15766,F8_S24_contig_14638,F5_S21_contig_12370,F6_S22_contig_3410,F4_S20_contig_2985,F3_S19_contig_9460,M1_S25_contig_20552|provirus_107293_159620,M2_S26_contig_29612|provirus_107293_159620,M3_S27_contig_15217|provirus_107734_160061,UHGV-0330127,UHGV-0239099,GP5_S30_contig_1715,GP3_S28_contig_1841,GP4_S29_contig_1311,GP3_S28_contig_4995,GP5_S30_contig_3217,GP4_S29_contig_3290
UHGV-1434407	UHGV-1434407,UHGV-2093423,UHGV-0336022,UHGV-1953839,UHGV-1479042,UHGV-1433071,F3_S19_contig_4068,F4_S20_contig_9380,F5_S21_contig_1227,F6_S22_contig_11464,F7_S23_contig_15067,F8_S24_contig_14295,M1_S25_contig_6555,M2_S26_contig_23619,M3_S27_contig_23959,GP5_S30_contig_605,GP4_S29_contig_4238
UHGV-0047420	UHGV-0047420,F3_S19_contig_5192,F4_S20_contig_1083,F5_S21_contig_1616,F6_S22_contig_14683,F7_S23_contig_207,F8_S24_contig_11231,GP3_S28_contig_5335,GP4_S29_contig_4434,GP5_S30_contig_5292,M1_S25_contig_10331,M2_S26_contig_30268,M3_S27_contig_26789,M1_S25_contig_24304|provirus_3_16568,M2_S26_contig_28578|provirus_3_16568,M3_S27_contig_13761|provirus_3_16568
UHGV-0224596	UHGV-0224596,F3_S19_contig_2899,F4_S20_contig_1494,F5_S21_contig_10764,F6_S22_contig_3709,F7_S23_contig_12214,F8_S24_contig_1331,GP3_S28_contig_5322,GP4_S29_contig_4353,GP5_S30_contig_2154,UHGV-0392313,M1_S25_contig_7293,M1_S25_contig_13227,M3_S27_contig_6366,M2_S26_contig_34246,M3_S27_contig_20691
GP4_S29_contig_4216|provirus_1_51411	GP4_S29_contig_4216|provirus_1_51411,UHGV-1360448,GP5_S30_contig_2410,GP3_S28_contig_2769,F3_S19_contig_12121|provirus_31745_81660,F4_S20_contig_12270|provirus_31745_81660,F5_S21_contig_6831|provirus_31745_81660,F6_S22_contig_3172|provirus_31745_81660,F7_S23_contig_8512|provirus_31745_81660,F8_S24_contig_6524|provirus_31745_81660,M3_S27_contig_30702,M1_S25_contig_21499|provirus_21496_51358,M1_S25_contig_8656|provirus_2_20042,M3_S27_contig_16759|provirus_11_14813,M2_S26_contig_32133,M2_S26_contig_17408
