sample	coverage	taxonomy
M3_S27_raw_R1	5.82	Root; d__Archaea
M3_S27_raw_R1	21.54	Root; d__Bacteria
M3_S27_raw_R1	0.17	Root; d__Bacteria; p__Pseudomonadota
M3_S27_raw_R1	1.36	Root; d__Bacteria; p__Actinomycetota
M3_S27_raw_R1	33.09	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
M3_S27_raw_R1	0.17	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
M3_S27_raw_R1	0.57	Root; d__Bacteria; p__Bacillota; c__Bacilli
M3_S27_raw_R1	1.02	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
M3_S27_raw_R1	0.45	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
M3_S27_raw_R1	0.12	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
M3_S27_raw_R1	0.53	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
M3_S27_raw_R1	0.23	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
M3_S27_raw_R1	0.35	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
M3_S27_raw_R1	0.79	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
M3_S27_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
M3_S27_raw_R1	0.99	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales
M3_S27_raw_R1	1.25	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
M3_S27_raw_R1	0.17	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
M3_S27_raw_R1	0.76	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
M3_S27_raw_R1	1.02	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
M3_S27_raw_R1	0.28	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
M3_S27_raw_R1	1.19	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
M3_S27_raw_R1	11.28	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
M3_S27_raw_R1	0.01	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
M3_S27_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Bianqueaceae
M3_S27_raw_R1	2.75	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
M3_S27_raw_R1	4.2	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
M3_S27_raw_R1	5.14	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
M3_S27_raw_R1	1.29	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
M3_S27_raw_R1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
