sample	coverage	taxonomy
M2_S26_raw_R1	6.81	Root; d__Archaea
M2_S26_raw_R1	16.34	Root; d__Bacteria
M2_S26_raw_R1	2.02	Root; d__Bacteria; p__Actinomycetota
M2_S26_raw_R1	0.23	Root; d__Bacteria; p__Pseudomonadota
M2_S26_raw_R1	0.06	Root; d__Bacteria; p__Bacteroidota
M2_S26_raw_R1	0.05	Root; d__Bacteria; p__Desulfobacterota
M2_S26_raw_R1	20.37	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
M2_S26_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
M2_S26_raw_R1	0.17	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
M2_S26_raw_R1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
M2_S26_raw_R1	0.4	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
M2_S26_raw_R1	1.25	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
M2_S26_raw_R1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
M2_S26_raw_R1	0.67	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
M2_S26_raw_R1	5.28	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
M2_S26_raw_R1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
M2_S26_raw_R1	0.34	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
M2_S26_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381
M2_S26_raw_R1	0.9	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
M2_S26_raw_R1	0.2	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales
M2_S26_raw_R1	0.39	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
M2_S26_raw_R1	1.37	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
M2_S26_raw_R1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
M2_S26_raw_R1	2.55	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
M2_S26_raw_R1	0.45	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
M2_S26_raw_R1	0.32	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
M2_S26_raw_R1	0.28	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
M2_S26_raw_R1	0.85	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
M2_S26_raw_R1	8.47	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
M2_S26_raw_R1	0.34	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
M2_S26_raw_R1	3.57	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
M2_S26_raw_R1	1.04	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
M2_S26_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
